Phrase,Frequency
route,30
real,15
reinforcement,15
routes,15
dynamic,12
flood,12
logistics,12
problem,12
ua,12
green,11
problems,10
sustainable,10
density,9
noise,9
electric,8
identification,8
line,8
routing,8
cb,7
delivery,7
mc,7
optimal,7
bus,6
climate,6
context,6
coverage,6
digital,6
efficiency,6
environmental,6
experimental,6
flight,6
pedestrian,6
recommendation,6
temporal,6
accessibility,5
charging,5
computational,5
customers,5
emergency,5
internet,5
interventions,5
io,5
late,5
path,5
platform,5
reduce,5
regression,5
restriction,5
rides,5
stress,5
